nombre,categoria,url,nota
Marco Sifuentes / Ocram,politica_analisis,https://www.youtube.com/user/ocram001,La Encerrona y entrevistas; lenguaje politico explicativo
El diario de Curwen,politica_opinion,https://www.youtube.com/@curwen,"opinion politica, streaming y satira"
Sin Guion con Rosa Maria Palacios,politica_periodismo,https://www.youtube.com/@singuionlr,periodismo de opinion y entrevistas
RPP Noticias,politica_actualidad,https://www.youtube.com/@RPPNoticias,noticias y entrevistas con lenguaje formal
Exitosa Noticias,politica_actualidad,https://www.youtube.com/@exitosanoticias,"noticias, entrevistas y opinion"
Willax Television,politica_opinion,https://www.youtube.com/@WillaxTV,programas de opinion politica
Canal N,politica_actualidad,https://www.youtube.com/@canaln,noticias y entrevistas
Todo Good,streaming_humor_opinion,https://www.youtube.com/@todogoodpe,"conversacion, humor, invitados y coyuntura"
Hablando Huevadas,humor_streaming,https://www.youtube.com/@HablandoHuevadasOficial,humor adulto; util para lenguaje ofensivo y contexto sensible
Magaly TV La Firme,farandula,https://www.youtube.com/@MagalyTVLaFirme,"farandula, conflicto publico y lenguaje de espectaculos"
Amor y Fuego,farandula,https://www.youtube.com/@AmoryFuego,farandula y comentarios de entretenimiento
America Hoy,farandula,https://www.youtube.com/@americahoytv,magazine y entretenimiento; verificar disponibilidad de videos
Misias pero viajeras,viajes,https://www.youtube.com/c/Misiasperoviajeras,archivo de viajes; canal cerrado pero episodios utiles
Buen Viaje,viajes,https://www.youtube.com/c/BuenViajePe,viajes por Peru con lenguaje descriptivo
Viaja y Prueba,viajes_gastronomia,https://www.youtube.com/@ViajayPrueba,viajes y gastronomia por Peru
